quantity;priceMin;priceMax;priceMod;state
29200;1440;1548;1497;BHR
9350;1000;1107;1054;BHR
4530;425;451;438;BHR
17990;370;419;393;BHR
26500;1285;1352;1317;BHR
21700;403;435;419;BHR
13600;1343;1426;1384;BHR
15470;1350;1459;1404;BHR
11895;1216;1400;1308;BHR
750;1600;1700;1650;BHR
16950;1088;1195;1141;BHR
23950;1889;1970;1928;BHR
20400;1089;1192;1141;BHR
11812;741;834;787;BHR
17220;331;371;351;BHR
21000;910;973;941;BHR
19650;471;511;495;BHR
15250;1026;1080;1053;BHR
12580;710;781;746;BHR
22365;675;766;720;BHR
3900;1238;1363;1300;BHR
25425;1088;1215;1149;BHR
22100;1378;1597;1488;BHR
14004;511;566;538;BHR
12690;368;418;393;BHR
13420;319;387;356;BHR
6450;709;760;734;BHR
14900;495;544;519;BHR
10050;800;863;832;BHR
29340;678;773;724;BHR
12900;593;673;633;BHR
16600;1142;1240;1191;BHR
18150;1120;1266;1193;BHR
112300;1477;1627;1552;BHR
2770;414;499;457;BHR
7611;440;489;465;BHR
6900;250;346;302;BHR
16850;437;613;527;BHR
26200;408;450;429;BHR
15000;628;717;676;BHR
16300;528;628;581;BHR
12200;600;676;638;BHR
500;575;650;613;BHR
14660;1006;1113;1060;BHR
19250;1215;1435;1325;BHR
22250;1373;1573;1473;BHR
7210;433;494;463;BHR
7935;350;400;375;BHR
8240;349;436;396;BHR
5950;835;949;892;BHR
18500;497;558;530;BHR
6000;744;844;794;BHR
18000;647;752;699;BHR
8135;516;634;575;BHR
10100;1158;1452;1303;BHR
16050;1425;1746;1585;BHR
101600;1658;1774;1716;BHR
5030;499;562;531;BHR
4430;367;417;392;BHR
4070;388;519;460;BHR
4515;1012;1117;1061;BHR
18055;729;816;771;BHR
12250;852;968;911;BHR
7750;797;893;845;BHR
10100;802;960;881;BHR
400;750;850;800;BHR
5850;1970;2495;2230;BHR
14400;1946;2442;2194;BHR
11000;2104;2563;2367;BHR
15780;500;567;533;BHR
3572;480;541;511;BHR
6780;495;571;536;BHR
4460;1325;1397;1355;BHR
13800;925;990;965;BHR
18450;813;875;844;BHR
60790;890;971;932;BHR
12705;1113;1264;1190;BHR
400;800;900;850;BHR
2965;3743;4114;3929;BHR
15200;1771;2248;2014;BHR
58900;4165;4316;4240;BHR
12080;625;705;667;BHR
565;1019;1188;1103;BHR
3550;519;589;566;BHR
8590;1551;1601;1577;BHR
3580;900;958;929;BHR
7350;875;935;905;BHR
10600;1362;1471;1416;BHR
19325;1148;1290;1219;BHR
246040;146;370;280;DEL
206360;471;1065;928;DEL
237510;212;551;489;DEL
246900;390;598;541;DEL
190560;808;1215;1022;DEL
281500;309;567;447;DEL
225666;995;1650;1369;DEL
185675;612;1703;1331;DEL
210112;1131;3594;2657;DEL
357155;214;731;490;DEL
324967;614;1795;1351;DEL
261467;583;1561;1151;DEL
249820;727;1829;1353;DEL
249231;467;1573;1154;DEL
144490;127;349;253;DEL
236410;832;967;876;DEL
224010;313;505;463;DEL
357511;295;464;433;DEL
218680;704;1366;1179;DEL
300020;280;485;405;DEL
315725;876;1422;1108;DEL
211756;577;1488;1109;DEL
216955;467;1395;1039;DEL
278303;407;646;535;DEL
260920;842;1925;1464;DEL
269628;556;1233;927;DEL
227680;875;1951;1542;DEL
220465;428;1258;896;DEL
115288;278;443;366;DEL
278700;483;642;582;DEL
232965;310;524;395;DEL
904810;263;419;391;DEL
291710;492;957;809;DEL
259520;385;584;474;DEL
337264;643;1121;957;DEL
270665;465;1009;820;DEL
298421;441;844;677;DEL
302949;447;719;603;DEL
321941;719;1499;1155;DEL
296475;564;1303;969;DEL
289604;950;1755;1413;DEL
129270;362;470;425;DEL
347550;344;498;450;DEL
295960;276;533;380;DEL
668100;232;425;391;DEL
314940;450;744;632;DEL
261886;324;520;479;DEL
307403;516;815;712;DEL
351145;418;811;694;DEL
260910;398;730;605;DEL
267075;415;732;621;DEL
353698;629;1293;1013;DEL
272611;626;1344;1031;DEL
302932;974;1669;1335;DEL
215470;305;511;419;DEL
284980;246;431;376;DEL
332060;220;491;451;DEL
267290;210;420;370;DEL
299210;285;657;506;DEL
279432;305;496;439;DEL
336957;476;779;640;DEL
312070;306;704;524;DEL
319227;341;692;540;DEL
346714;360;686;544;DEL
354260;563;1077;860;DEL
311504;742;1439;1142;DEL
325192;580;1777;1309;DEL
140950;345;555;463;DEL
380740;218;447;347;DEL
383250;166;512;425;DEL
236820;267;460;404;DEL
420750;275;913;560;DEL
295554;286;574;430;DEL
403324;466;890;649;DEL
367566;284;754;507;DEL
352973;264;847;576;DEL
339307;411;692;587;DEL
324640;653;1518;1172;DEL
280149;813;1788;1277;DEL
288482;576;2108;1569;DEL
271530;376;680;531;DEL
324350;290;532;414;DEL
313150;231;606;550;DEL
251200;304;577;450;DEL
319250;397;1102;769;DEL
313412;391;836;594;DEL
383607;551;999;740;DEL
340470;301;979;672;DEL
293761;396;1101;818;DEL
333825;462;815;681;DEL
298311;1121;2398;1990;DEL
272278;1404;2438;2042;DEL
293187;755;2438;1880;DEL
179541;418;698;572;DEL
262060;383;659;550;DEL
307810;345;802;710;DEL
257150;324;625;501;DEL
256770;713;1419;1120;DEL
254074;553;1069;833;DEL
312371;602;1030;796;DEL
300974;357;1113;846;DEL
262378;556;1382;1069;DEL
327870;491;897;690;DEL
229188;2002;4128;3510;DEL
257155;1161;2148;1750;DEL
221575;1562;4254;3381;DEL
136220;590;744;691;DEL
236100;363;780;568;DEL
253820;691;1230;1046;DEL
290825;243;678;506;DEL
231150;1034;1719;1436;DEL
442168;838;1207;1066;GUJ
666784;985;1410;1199;GUJ
424792;1819;3018;2437;GUJ
626868;271;463;362;GUJ
289514;1127;1594;1371;GUJ
438873;746;1091;923;GUJ
642036;924;1290;1105;GUJ
588870;767;1174;969;GUJ
401750;276;332;308;GUJ
171450;169;246;216;GUJ
338632;183;242;212;GUJ
562960;565;732;647;GUJ
232141;140;268;203;GUJ
432051;120;216;164;GUJ
302428;840;1112;975;GUJ
391656;162;254;209;GUJ
526109;706;1064;948;GUJ
439105;801;1165;983;GUJ
574075;689;1032;862;GUJ
730021;260;437;348;GUJ
677995;1008;1363;1185;GUJ
595631;420;727;583;GUJ
502444;1142;1588;1364;GUJ
96906;625;822;723;GUJ
190900;309;459;423;GUJ
317500;225;304;270;GUJ
115100;147;207;183;GUJ
126696;189;251;221;GUJ
370077;289;418;355;GUJ
80076;108;286;195;GUJ
239964;99;195;152;GUJ
75069;589;821;706;GUJ
318282;195;350;269;GUJ
151796;575;929;795;GUJ
58879;496;845;669;GUJ
461245;301;552;426;GUJ
218188;274;501;387;GUJ
270428;782;1064;924;GUJ
335261;507;937;722;GUJ
56549;1085;1509;1286;GUJ
92000;187;299;260;GUJ
306150;230;358;314;GUJ
21500;160;298;241;GUJ
309150;139;230;190;GUJ
36224;202;310;252;GUJ
29122;106;268;183;GUJ
121016;60;180;139;GUJ
37653;438;598;518;GUJ
242295;129;267;198;GUJ
14487;445;627;525;GUJ
28365;311;541;426;GUJ
181252;219;481;343;GUJ
13479;342;542;431;GUJ
24068;566;879;721;GUJ
102331;463;908;683;GUJ
10109;769;1253;983;GUJ
2500;150;325;200;GUJ
10500;350;425;390;GUJ
1159;166;255;219;GUJ
347;130;260;197;GUJ
20008;65;162;106;GUJ
15972;97;231;165;GUJ
501;250;490;370;GUJ
4882;258;509;386;GUJ
14833;187;410;303;GUJ
2903;380;691;534;GUJ
1086;487;987;737;GUJ
5621;661;1135;898;GUJ
984;310;392;362;GUJ
1908;1088;1696;1391;GUJ
3501;1904;3310;2608;GUJ
150;1000;2250;1250;GUJ
1416;828;1258;1048;GUJ
35821;1224;2895;2058;GUJ
300;1500;1900;1700;GUJ
2190;238;497;365;GUJ
454;630;1030;830;GUJ
2121;305;525;415;GUJ
13943;850;1508;1192;GUJ
247;1553;2078;1815;GUJ
2353;407;993;699;GUJ
1181;569;1176;904;GUJ
11897;1432;2378;1904;GUJ
16450;639;1577;1107;GUJ
108947;1102;2043;1571;GUJ
75770;883;1168;1041;GUJ
36433;180;304;259;GUJ
2624;353;510;431;GUJ
43905;505;733;618;GUJ
116299;187;361;275;GUJ
16703;457;648;558;GUJ
135246;337;659;498;GUJ
37410;422;585;503;GUJ
89282;907;1215;1062;GUJ
145108;852;1870;1378;GUJ
81860;1887;3349;2621;GUJ
58820;367;709;537;GUJ
14833;800;1403;1098;GUJ
216981;923;1548;1235;GUJ
267623;935;1692;1320;GUJ
246267;772;1405;1097;GUJ
227832;916;1066;991;KNT
335679;470;597;522;KNT
412185;286;617;537;KNT
268268;586;1167;942;KNT
393806;174;671;472;KNT
374380;848;1554;1328;KNT
423649;502;1837;1267;KNT
375695;2029;3167;2731;KNT
531906;161;736;583;KNT
426367;857;1830;1551;KNT
606710;404;1296;1094;KNT
583681;313;1967;1602;KNT
507223;200;1943;1448;KNT
